"","Title","Path","Box"
"1084","Beverly Hills Cop II","/movies/?id=beverlyhillscop2.htm",153665036
"13048","Mad Max: Fury Road","/movies/?id=furyroad.htm",153636354
"5394","Scooby-Doo","/movies/?id=scoobydoo.htm",153294164
"8714","Sex and the City","/movies/?id=sexandthecity.htm",152647258
"4275","Runaway Bride","/movies/?id=runawaybride.htm",152257509
"12344","Divergent","/movies/?id=divergent.htm",150947895
"694","Rambo: First Blood Part II","/movies/?id=rambo2.htm",150415432
"11653","We're the Millers","/movies/?id=werethemillers.htm",150394119
"5868","Terminator 3: Rise of the Machines","/movies/?id=terminator3.htm",150371112
"13049","Daddy's Home","/movies/?id=daddyshome.htm",150357137
"9329","G.I. Joe: The Rise of Cobra","/movies/?id=gijoe.htm",150201498
"12345","Neighbors","/movies/?id=townies.htm",150157400
"11654","American Hustle","/movies/?id=davido2013.htm",150117807
"10384","Puss in Boots","/movies/?id=pussinboots12.htm",149260504
"10988","Les Miserables (2012)","/movies/?id=lesmiserables2012.htm",148809770
"8086","Knocked Up","/movies/?id=knockedup.htm",148768917
"3633","As Good as It Gets","/movies/?id=asgoodasitgets.htm",148478011
"9848","Little Fockers","/movies/?id=meetthefockerssequel.htm",148438600
"9849","Megamind","/movies/?id=mastermind.htm",148415853
"10989","Hotel Transylvania","/movies/?id=hoteltransylvania.htm",148313048
"7476","Talladega Nights: The Ballad of Ricky Bobby","/movies/?id=talladeganights.htm",148213377
"528","Gremlins","/movies/?id=gremlins.htm",148168459
"8715","Gran Torino","/movies/?id=grantorino.htm",148095302
"1576","Lethal Weapon 2","/movies/?id=lethalweapon2.htm",147253986
"10385","X-Men: First Class","/movies/?id=xmenfirstclass.htm",146408305
"9330","Paul Blart: Mall Cop","/movies/?id=mallcop.htm",146336178
"2781","True Lies","/movies/?id=truelies.htm",146282411
"2042","Beauty and the Beast","/movies/?id=beautyandthebeast.htm",145863363
"5395","Lilo & Stitch","/movies/?id=lilostitch.htm",145794338
"5038","American Pie 2","/movies/?id=americanpie2.htm",145103595
"9331","Taken","/movies/?id=taken.htm",145000989
"11655","The Great Gatsby (2013)","/movies/?id=greatgatsby2012.htm",144840419
"2782","The Santa Clause","/movies/?id=santaclause.htm",144833357
"6378","I, Robot","/movies/?id=irobot.htm",144801023
"2288","Lethal Weapon 3","/movies/?id=lethalweapon3.htm",144731527
"5039","The Fast and the Furious","/movies/?id=fastandfurious.htm",144533925
"3936","Doctor Dolittle","/movies/?id=drdolittle.htm",144156605
"8716","Mamma Mia!","/movies/?id=mammamia.htm",144130063
"10386","Rio","/movies/?id=rio.htm",143619809
