"","Title","Path","Box","Distrubutor","Release.Date","Genre","Runtime","MPAA","Budget"
"202","Ant-Man","/movies/?id=antman.htm",180202163,"Buena Vista","July","Action / Adventure",117,"PG-13",130
"203","Planet of the Apes (2001)","/movies/?id=planetoftheapes01.htm",180011740,"Fox","July","Sci-Fi Action",119,"PG-13",100
"204","Madagascar: Escape 2 Africa","/movies/?id=madagascar2.htm",180010950,"Paramount (DreamWorks)","November","Animation",89,"PG",150
"205","X-Men Origins: Wolverine","/movies/?id=wolverine.htm",179883157,"Fox","May","Action / Adventure",107,"PG-13",150
"206","Indiana Jones and the Temple of Doom","/movies/?id=indianajonesandthetempleofdoom.htm",179870271,"Paramount","May","Period Adventure",118,"PG",28
"207","Hitch","/movies/?id=hitch.htm",179495555,"Sony / Columbia","February","Romantic Comedy",115,"PG-13",70
"208","MIB 3","/movies/?id=mib3.htm",179020854,"Sony / Columbia","May","Sci-Fi Comedy",106,"PG-13",225
"209","Pretty Woman","/movies/?id=prettywoman.htm",178406268,"Buena Vista","March","Romantic Comedy",119,"R",14
"210","Home (2015)","/movies/?id=happysmekday.htm",177397510,"Fox","March","Animation",94,"PG",135
"211","Night at the Museum: Battle of the Smithsonian","/movies/?id=nightatthemuseum2.htm",177243721,"Fox","May","Family Adventure",105,"PG",150
"212","Tootsie","/movies/?id=tootsie.htm",177200000,"Columbia","December","Comedy",119,"PG",21
"213","How to Train Your Dragon 2","/movies/?id=howtotrainyourdragon2.htm",177002924,"Fox","June","Animation",105,"PG",145
"214","Top Gun","/movies/?id=topgun.htm",176781728,"Paramount","May","Action Drama",110,"PG",NA
"215","Rise of the Planet of the Apes","/movies/?id=riseoftheapes.htm",176760185,"Fox","August","Sci-Fi Action",110,"PG-13",93
"216","Captain America: The First Avenger","/movies/?id=captainamerica.htm",176654505,"Paramount","July","Action / Adventure",125,"PG-13",140
"217","The Karate Kid","/movies/?id=karatekid2010.htm",176591618,"Sony / Columbia","June","Action Drama",140,"PG",40
"218","There's Something About Mary","/movies/?id=somethingaboutmary.htm",176484651,"Fox","July","Romantic Comedy",119,"R",23
"219","Ice Age","/movies/?id=iceage.htm",176387405,"Fox","March","Animation",81,"PG",59
"220","The Bourne Supremacy","/movies/?id=bournesupremacy.htm",176241941,"Universal","July","Action Thriller",108,"PG-13",75
"221","Crocodile Dundee","/movies/?id=crocodiledundee.htm",174803506,"Paramount","September","Adventure Comedy",93,"PG-13",NA
"222","Home Alone 2: Lost in New York","/movies/?id=homealone2.htm",173585516,"Fox","November","Family Comedy",120,"PG",NA
"223","Elf","/movies/?id=elf.htm",173398518,"New Line","November","Comedy",95,"PG",33
"224","National Treasure","/movies/?id=nationaltreasure.htm",173008894,"Buena Vista","November","Adventure",131,"PG",100
"225","Air Force One","/movies/?id=airforceone.htm",172956409,"Sony / Columbia","July","Action Thriller",124,"R",85
"226","Rain Man","/movies/?id=rainman.htm",172825435,"MGM","December","Drama",133,"R",25
"227","Apollo 13","/movies/?id=apollo13.htm",172071312,"Universal","June","Action Thriller",140,"PG",NA
"228","Tron Legacy","/movies/?id=tron2.htm",172062763,"Buena Vista","December","Sci-Fi Action",125,"PG",170
"229","The Matrix","/movies/?id=matrix.htm",171479930,"Warner Bros.","March","Sci-Fi Action",136,"R",63
"230","True Grit","/movies/?id=truegrit2010.htm",171243005,"Paramount","December","Western",110,"PG-13",38
"231","Tarzan","/movies/?id=tarzan.htm",171091819,"Buena Vista","June","Animation",88,"G",130
"232","A Beautiful Mind","/movies/?id=beautifulmind.htm",170742341,"Universal","December","Period Drama",136,"PG-13",58
"233","Chicago","/movies/?id=chicago.htm",170687518,"Miramax","December","Musical",107,"PG-13",45
"234","The Help","/movies/?id=help2011.htm",169708112,"Buena Vista","August","Drama",137,"PG-13",25
